'neath,preposition,69182,75849
'tis,other,47369,75668
'twas,other,69709,75688
(a) heaven on earth,noun,20193,18632
(a) method in/to your madness,noun,23533,25253
(a) penny for your thoughts,noun,74259,70409
(a) thick/thin skin,noun,71677,71517
(all) by your lonesome,adjective,31958,27033
(all) for the best,noun,11629,3001
(all) in good time,noun,54592,73977
(all) in one whack,noun,65683,74523
(all) the livelong day,adjective,20863,27004
(and) not before time (too),noun,44105,73981
(as) American as apple pie,noun,24420,922
(as) big as life,noun,38688,23157
(as) blind as a bat,adjective,32105,2835
(as) bold as brass,adjective,37172,2901
(as) busy as a bee,noun,6829,1986
(as) clear as a bell,adjective,7043,8013
(as) cute as a button,noun,34584,5015
(as) daft as a brush,adjective,27749,11884
(as) dead as a doornail,adjective,28264,11918
(as) dull as dishwater,noun,7233,10567
(as) dull as ditchwater,noun,29829,10675
(as) easy as ABC,adjective,32897,12446
(as) flat as a pancake,adjective,27798,16792
(as) free as a bird,adjective,19092,16945
(as) good as gold,noun,18424,16539
(as) good as new,adjective,65348,71996
(as) guilty/miserable/ugly as sin,noun,65988,71480
(as) happy as a clam,noun,9325,6263
(as) hard/tough as nails,noun,60988,69921
(as) keen as mustard,adjective,15038,22232
(as) near as I can tell/figure,adverb,71710,75084
(as) pleased as punch,adjective,72806,72211
(as) pretty as a picture,adjective,43933,72262
(as) quick as a flash,noun,21501,14434
(as) right as rain,adjective,56233,72340
(as) sick as a dog,noun,39160,10752
(as) sound as a bell,adjective,49424,72510
(as) sure as I'm standing here,verb,75561,73433
(as) tough as old boots,adjective,65713,74878
(as) warm as toast,adjective,49228,74991
(be) careful what you wish for,verb,63199,74820
(be) spoiling for,verb,70156,73404
(every) now and then,adverb,69071,69556
(from) house to house,noun,33857,19296
(from) side to side,noun,57974,71443
"(get) ready, (get) set, go",adjective,43405,72310
(go) jump in a/the lake,noun,42680,22654
(have) stars in your eyes,noun,69108,71747
(it's a) small world,noun,68417,74713
(just) around the corner,noun,33591,7353
(only) time will tell,noun,61961,74008
(out) on the town,noun,75216,74124
(sitting) in the catbird seat,noun,34637,5495
(somewhere) in the region of,noun,62991,70947
(stop and) smell the roses,noun,58919,71113
(the right of) first refusal,noun,61451,70940
(what) with one thing and another,noun,55345,73918
4x4,noun,34643,15648
A. N. Other,noun,3566,805
AAA,other,27643,27662
AARP,other,8161,27664
ABC,noun,15160,19
ABC,noun,15162,19
ABC,other,36459,19
ABC,other,36461,19
ABS,other,7927,27671
AFC,other,4273,27684
AGM,noun,21908,413
AOB,other,11554,27715
